#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   0.0000   [eV]
# No intraband contributions added
#
# Energy [eV]    eloss_xx      eloss_zz
#
  11.143070  0.236512E+00  0.210487E+00
  11.170280  0.234620E+00  0.211815E+00
  11.197490  0.231196E+00  0.210978E+00
  11.224700  0.227951E+00  0.207379E+00
  11.251910  0.225974E+00  0.200925E+00
  11.279120  0.225254E+00  0.193939E+00
  11.306330  0.225290E+00  0.188635E+00
  11.333550  0.225312E+00  0.184777E+00
  11.360760  0.224705E+00  0.181598E+00
  11.387970  0.223069E+00  0.178530E+00
  11.415180  0.220367E+00  0.175323E+00
  11.442390  0.217530E+00  0.172199E+00
  11.469600  0.215613E+00  0.169540E+00
  11.496810  0.214267E+00  0.167438E+00
  11.524030  0.212911E+00  0.165951E+00
  11.551240  0.211537E+00  0.165085E+00
  11.578450  0.210652E+00  0.164604E+00
  11.605660  0.210783E+00  0.164341E+00
  11.632870  0.212069E+00  0.164182E+00
  11.660080  0.214354E+00  0.164049E+00
  11.687290  0.217138E+00  0.163975E+00
  11.714510  0.219983E+00  0.164153E+00
  11.741720  0.222668E+00  0.165087E+00
  11.768930  0.225026E+00  0.166645E+00
  11.796140  0.227357E+00  0.168171E+00
  11.823350  0.230171E+00  0.169298E+00
  11.850560  0.233289E+00  0.170093E+00
  11.877770  0.236177E+00  0.170920E+00
  11.904990  0.238365E+00  0.172355E+00
  11.932200  0.239652E+00  0.175181E+00
  11.959410  0.240277E+00  0.179855E+00
  11.986620  0.241145E+00  0.185884E+00
  12.013830  0.243055E+00  0.192413E+00
  12.041040  0.246224E+00  0.198901E+00
  12.068250  0.250219E+00  0.204983E+00
  12.095470  0.254260E+00  0.210151E+00
  12.122680  0.257744E+00  0.214135E+00
  12.149890  0.260308E+00  0.217426E+00
  12.177100  0.261141E+00  0.220463E+00
  12.204310  0.259341E+00  0.222693E+00
  12.231520  0.255597E+00  0.223278E+00
  12.258730  0.251678E+00  0.221909E+00
  12.285940  0.249036E+00  0.218783E+00
  12.313160  0.248182E+00  0.214477E+00
  12.340370  0.248993E+00  0.209957E+00
  12.367580  0.251488E+00  0.206542E+00
  12.394790  0.255338E+00  0.205249E+00
  12.422000  0.260092E+00  0.205801E+00
  12.449210  0.265017E+00  0.208397E+00
  12.476420  0.269025E+00  0.213224E+00
  12.503640  0.271517E+00  0.219029E+00
  12.530850  0.271983E+00  0.224162E+00
  12.558060  0.270970E+00  0.228179E+00
  12.585270  0.269955E+00  0.231916E+00
  12.612480  0.269423E+00  0.235954E+00
  12.639690  0.269433E+00  0.240401E+00
  12.666900  0.269740E+00  0.245185E+00
  12.694120  0.269902E+00  0.250049E+00
  12.721330  0.270135E+00  0.254805E+00
  12.748540  0.271136E+00  0.259452E+00
  12.775750  0.272489E+00  0.264097E+00
  12.802960  0.272991E+00  0.269006E+00
  12.830170  0.272061E+00  0.274038E+00
  12.857380  0.270082E+00  0.278458E+00
  12.884600  0.268320E+00  0.281887E+00
  12.911810  0.267923E+00  0.284494E+00
  12.939020  0.269227E+00  0.286930E+00
  12.966230  0.272344E+00  0.289942E+00
  12.993440  0.277374E+00  0.294175E+00
  13.020650  0.284284E+00  0.299976E+00
  13.047860  0.292525E+00  0.306811E+00
  13.075080  0.300675E+00  0.314301E+00
  13.102290  0.307714E+00  0.322828E+00
  13.129500  0.313117E+00  0.332776E+00
  13.156710  0.316384E+00  0.343807E+00
  13.183920  0.318160E+00  0.355046E+00
  13.211130  0.319793E+00  0.365934E+00
  13.238340  0.321158E+00  0.375917E+00
  13.265560  0.320996E+00  0.383637E+00
  13.292770  0.319352E+00  0.387950E+00
  13.319980  0.317957E+00  0.390191E+00
  13.347190  0.318182E+00  0.392174E+00
  13.374400  0.319627E+00  0.394197E+00
  13.401610  0.321661E+00  0.396188E+00
  13.428820  0.324145E+00  0.398044E+00
  13.456030  0.326183E+00  0.399432E+00
  13.483250  0.326491E+00  0.399866E+00
  13.510460  0.325417E+00  0.399361E+00
  13.537670  0.323543E+00  0.398399E+00
  13.564880  0.321871E+00  0.396812E+00
  13.592090  0.320970E+00  0.393623E+00
  13.619300  0.319436E+00  0.388243E+00
  13.646510  0.316610E+00  0.380869E+00
  13.673730  0.313141E+00  0.371802E+00
  13.700940  0.309921E+00  0.362306E+00
  13.728150  0.307610E+00  0.353440E+00
  13.755360  0.305881E+00  0.344788E+00
  13.782570  0.304082E+00  0.335431E+00
  13.809780  0.301821E+00  0.323542E+00
  13.836990  0.298318E+00  0.307695E+00
  13.864210  0.292404E+00  0.287787E+00
  13.891420  0.284720E+00  0.264375E+00
  13.918630  0.279277E+00  0.238564E+00
  13.945840  0.277827E+00  0.214026E+00
  13.973050  0.279032E+00  0.195332E+00
  14.000260  0.281506E+00  0.184616E+00
  14.027470  0.283982E+00  0.180147E+00
  14.054690  0.285756E+00  0.179461E+00
  14.081900  0.287550E+00  0.180956E+00
  14.109110  0.289778E+00  0.184070E+00
  14.136320  0.291777E+00  0.188672E+00
  14.163530  0.292835E+00  0.194592E+00
  14.190740  0.292697E+00  0.201386E+00
  14.217950  0.292158E+00  0.208427E+00
  14.245170  0.292455E+00  0.215815E+00
  14.272380  0.293891E+00  0.223883E+00
  14.299590  0.296020E+00  0.232438E+00
  14.326800  0.298390E+00  0.241139E+00
  14.354010  0.300849E+00  0.249429E+00
  14.381220  0.303181E+00  0.256581E+00
  14.408430  0.304728E+00  0.262051E+00
  14.435650  0.304788E+00  0.265278E+00
  14.462860  0.303545E+00  0.266296E+00
  14.490070  0.302013E+00  0.266098E+00
  14.517280  0.301268E+00  0.265748E+00
  14.544490  0.301928E+00  0.265664E+00
  14.571700  0.303851E+00  0.265965E+00
  14.598910  0.306933E+00  0.266746E+00
  14.626120  0.311488E+00  0.267870E+00
  14.653340  0.316936E+00  0.269033E+00
